CandidateID,Name,Age,Skill_Id,Interest_ID,Education,Location,SuggestedInternship
1,Alice1014,25,12,18,MCA,Delhi,Cloud Developer Intern
2,Alice1033,23,4,9,BA,Chennai,Data Analyst Intern
3,Alice1033,23,4,9,BA,Chennai,Data Analyst Intern
4,Alice1050,27,37,1,B.Com,Delhi,Cloud Developer Intern
5,Alice1061,28,4,2,BCA,Pune,ML Engineer Intern
6,Alice1095,22,12,5,MCA,Hyderabad,Frontend Developer Intern
7,Alice1095,22,12,5,MCA,Hyderabad,Frontend Developer Intern
8,Alice1095,22,12,5,MCA,Hyderabad,Frontend Developer Intern
9,Alice1106,30,5,4,B.Sc,Mumbai,ML Engineer Intern
10,Alice1114,26,38,14,B.Tech,Chennai,Cloud Developer Intern
11,Alice1119,29,42,1,BCA,Bangalore,Cloud Developer Intern
12,Alice1137,30,4,13,BA,Hyderabad,Data Analyst Intern
13,Alice1137,30,4,13,BA,Hyderabad,Data Analyst Intern
14,Alice1147,29,55,1,B.Tech,Delhi,Data Analyst Intern
15,Alice1147,29,55,1,B.Tech,Delhi,Data Analyst Intern
16,Alice1174,25,264,13,BA,Pune,Data Analyst Intern
17,Alice1174,25,264,13,BA,Pune,Data Analyst Intern
18,Alice1204,29,172,19,B.Tech,Chennai,Data Analyst Intern
19,Alice1204,29,172,19,B.Tech,Chennai,Data Analyst Intern
20,Alice1244,25,99,2,B.Tech,Delhi,Data Analyst Intern
21,Alice1244,25,99,2,B.Tech,Delhi,Data Analyst Intern
22,Alice1325,30,9,5,B.Com,Hyderabad,Frontend Developer Intern
23,Alice1325,30,9,5,B.Com,Hyderabad,Frontend Developer Intern
24,Alice1325,30,9,5,B.Com,Hyderabad,Frontend Developer Intern
25,Alice1349,27,12,3,B.Sc,Delhi,Cloud Developer Intern
26,Alice1350,21,12,12,MCA,Chennai,Cloud Developer Intern
27,Alice1353,22,23,1,BCA,Bangalore,Web Developer Intern
28,Alice1353,22,23,1,BCA,Bangalore,Web Developer Intern
29,Alice1360,30,42,3,B.Tech,Pune,Cloud Developer Intern
30,Alice1365,27,214,3,BA,Delhi,Cloud Developer Intern
31,Alice1375,29,65,6,B.Sc,Pune,Web Developer Intern
32,Alice1375,29,65,6,B.Sc,Pune,Web Developer Intern
33,Alice1384,27,5,5,BA,Chennai,Data Analyst Intern
34,Alice1384,27,5,5,BA,Chennai,Data Analyst Intern
35,Alice1386,27,4,1,BCA,Hyderabad,ML Engineer Intern
36,Alice1395,26,7,5,BCA,Mumbai,Frontend Developer Intern
37,Alice1395,26,7,5,BCA,Mumbai,Frontend Developer Intern
38,Alice1395,26,7,5,BCA,Mumbai,Frontend Developer Intern
39,Alice1397,27,69,7,B.Com,Delhi,ML Engineer Intern
40,Alice1403,28,69,20,MCA,Mumbai,ML Engineer Intern
41,Alice1419,30,3,1,BA,Delhi,Cloud Developer Intern
42,Alice1451,27,55,6,BCA,Hyderabad,Frontend Developer Intern
43,Alice1451,27,55,6,BCA,Hyderabad,Frontend Developer Intern
44,Alice1451,27,55,6,BCA,Hyderabad,Frontend Developer Intern
45,Alice1460,22,4,1,B.Sc,Bangalore,ML Engineer Intern
46,Alice147,22,37,4,BCA,Mumbai,Cloud Developer Intern
47,Alice1476,29,21,18,B.Com,Pune,Cloud Developer Intern
48,Alice1542,27,106,1,B.Com,Pune,Web Developer Intern
49,Alice1542,27,106,1,B.Com,Pune,Web Developer Intern
50,Alice1545,25,17,10,BA,Hyderabad,Frontend Developer Intern
51,Alice1545,25,17,10,BA,Hyderabad,Frontend Developer Intern
52,Alice1545,25,17,10,BA,Hyderabad,Frontend Developer Intern
53,Alice1551,23,53,3,BA,Chennai,Cloud Developer Intern
